STATE_CODE,STATE_CODE_EXP,SHRP_ID,COUNTY,COUNTY_EXP,FUNCTIONAL_CLASS,FUNCTIONAL_CLASS_EXP,ROUTE_NO,ROUTE_SIGNING,ROUTE_SIGNING_EXP,ROUTE_QUALIFIER,ROUTE_QUALIFIER_EXP,ALT_ROUTE_NAME,NO_OF_LANES,MILEPOINT,LOCATION_INFO
1,Alabama,B310,129,WASHINGTON,2,Rural Principal Arterial - Other,43,3,U.S.,,,,2,47.7,"PN F-98(21).  STA 739+20-734+20.  Approx 0.93 Miles North of Lewis Creek Bridge, and 5.5 Miles North of McIntosh City Limits."
1,Alabama,B320,129,WASHINGTON,2,Rural Principal Arterial - Other,43,3,U.S.,,,,2,47.7,"PN F-98(21).  STA 739+20-734+20.  Approx 0.93 Miles North of Lewis Creek Bridge, and 5.5 Miles North of McIntosh City Limits."
1,Alabama,B330,129,WASHINGTON,2,Rural Principal Arterial - Other,43,3,U.S.,,,,2,47.7,"PN F-98(21).  STA 739+20-734+20.  Approx 0.93 Miles North of Lewis Creek Bridge, and 5.5 Miles North of McIntosh City Limits."
1,Alabama,B340,129,WASHINGTON,2,Rural Principal Arterial - Other,43,3,U.S.,,,,2,47.7,"PN F-98(21).  STA 739+20-734+20.  Approx 0.93 Miles North of Lewis Creek Bridge, and 5.5 Miles North of McIntosh City Limits."
1,Alabama,B350,129,WASHINGTON,2,Rural Principal Arterial - Other,43,3,U.S.,,,,2,47.7,"PN F-98(21).  STA 739+20-734+20.  Approx 0.93 Miles North of Lewis Creek Bridge, and 5.5 Miles North of McIntosh City Limits."
1,Alabama,C310,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,"PNo. DP-370(9), W. of Dothan.  T.S. begins imm. E of County Rd. 9, approx. 3.6 mi E of AL 123, and 9 mi W of AL 210.  SPS-3 site 01C3 is on same project"
1,Alabama,C320,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,"PNo. DP-370(9), W. of Dothan.  T.S. begins imm. E of County Rd. 9, approx. 3.6 mi E of AL 123, and 9 mi W of AL 210.  SPS-3 site 01C3 is on same project"
1,Alabama,C330,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,"PNo. DP-370(9), W. of Dothan.  T.S. begins imm. E of County Rd. 9, approx. 3.6 mi E of AL 123, and 9 mi W of AL 210.  SPS-3 site 01C3 is on same project"
1,Alabama,C340,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,"PNo. DP-370(9), W. of Dothan.  T.S. begins imm. E of County Rd. 9, approx. 3.6 mi E of AL 123, and 9 mi W of AL 210.  SPS-3 site 01C3 is on same project"
1,Alabama,C350,69,HOUSTON,2,Rural Principal Arterial - Other,84,3,U.S.,,,,2,204.09,"PNo. DP-370(9), W. of Dothan.  T.S. begins imm. E of County Rd. 9, approx. 3.6 mi E of AL 123, and 9 mi W of AL 210.  SPS-3 site 01C3 is on same project"
2,Alaska,1001,120,KENAI-COOK INLET,2,Rural Principal Arterial - Other,1,4,State,,,,1,46.5,START OF SECTION IS 3810 FEET SOUTH OF THE TURNOUT AT THE SOUTH END OF LOWER SUMMIT LAKE. APPROX. 7 MI. N OF ST-9 INTERSECTION WITH ST-1.
2,Alaska,1002,122,KENAI PENINSULA,2,Rural Principal Arterial - Other,1,4,State,,,,1,66.2,SECTION STARTS @ 2.2 MILES SOUTH OF TURNEGAN PASS REST AREA ON WEST SIDE OF ROAD AND 1.6 MILES SOUTH OF TURNEGAN PASS RESET AREA ON EAST SIDE OF ROAD.
2,Alaska,1004,20,ANCHORAGE,14,Urban Other Principal Arterial,1339,4,State,,,,2,5.65,START OF SECTION IS 1 MILE EAST OF THE BONIFACE PARKWAY AND 2 MILES EAST OF BRAGAW STREET. APPROX. 31 MI. SOUTH OF ST-3 INTERSECTION WITH ST-1.
2,Alaska,1008,90,FAIRBANKS NORTH STAR,6,Rural Minor Arterial,2,4,State,,,,1,9.9,THE START OF SECTION IS ONE MILE SOUTH OF FOX WEIGH STATION AND 0.4 MILES NORTH OF GOLDSTREAM ROAD. APPROX. 3 MI. NORTH OF ST-3 INTERSECTION WITH ST-2.
2,Alaska,6010,20,ANCHORAGE,1,Rural Principal Arterial - Interstate,1,4,State,,,,2,142.43,START OF SECTION IS  2.4 MILES NORTH OF EAGLE RIVER OVERPASS AND 3.2 MILES NORTH OF HILAND OVERPASS. APPROX. 18 MI. SOUTH OF ST-3 INTERSECTION WITH ST-1.
2,Alaska,9035,170,MATANUSKA-SUSITNA,2,Rural Principal Arterial - Other,3,4,State,,,,1,121.81,SECTION STARTS @ 5.95 MI. NORTH OF TRAPPER CREEK @ 0.65 MILES NORTH OF CHULITNA MAINTENANCE YARD ENTRANCE ON WEST SIDE OF ROAD.
4,Arizona,0113,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,52.62,0.1 mile South of Chloride at milepost 53.19                                                                                                                                                                                                    
4,Arizona,0114,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,52.62,0.1 mile South of Chloride at milepost 53.19                                                                                                                                                                                                    
4,Arizona,0115,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,52.62,0.1 mile South of Chloride at milepost 53.19                                                                                                                                                                                                    
4,Arizona,0116,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,52.62,0.1 mile South of Chloride at milepost 53.19                                                                                                                                                                                                    
4,Arizona,0117,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,52.62,0.1 mile South of Chloride at milepost 53.19                                                                                                                                                                                                    
4,Arizona,0118,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,52.62,0.1 mile South of Chloride at milepost 53.19                                                                                                                                                                                                    
4,Arizona,0119,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,52.62,0.1 mile South of Chloride at milepost 53.19                                                                                                                                                                                                    
4,Arizona,0120,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,52.62,0.1 mile South of Chloride at milepost 53.19                                                                                                                                                                                                    
4,Arizona,0121,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,52.62,0.1 mile South of Chloride at milepost 53.19                                                                                                                                                                                                    
4,Arizona,0122,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,52.62,0.1 mile South of Chloride at milepost 53.19                                                                                                                                                                                                    
4,Arizona,0123,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,52.62,0.1 mile South of Chloride at milepost 53.19                                                                                                                                                                                                    
4,Arizona,0124,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,52.62,0.1 mile South of Chloride at milepost 53.19                                                                                                                                                                                                    
4,Arizona,0160,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,52.62,0.1 mile South of Chloride at milepost 53.19                                                                                                                                                                                                    
4,Arizona,0161,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,52.62,0.1 mile South of Chloride at milepost 53.19                                                                                                                                                                                                    
4,Arizona,0213,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0214,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0215,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0216,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0217,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0218,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0219,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0220,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0221,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0222,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0223,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0224,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0260,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0261,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0262,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0263,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0264,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0265,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0266,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0267,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0268,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,109.0,"Between Tonopah, AZ and AZ State Spur 85                                                                                                                                                                                                        "
4,Arizona,0501,21,PINAL,1,Rural Principal Arterial - Interstate,8,2,Interstate,,,,2,159.01,THE START OF SECTION IS APPROX. 17 MILES WEST OF THE I-10/I-8 INTERCHANGE
4,Arizona,0502,21,PINAL,1,Rural Principal Arterial - Interstate,8,2,Interstate,,,,2,159.01,THE START OF SECTION IS APPROX. 17 MILES WEST OF THE I-10/I-8 INTERCHANGE
4,Arizona,0503,21,PINAL,1,Rural Principal Arterial - Interstate,8,2,Interstate,,,,2,159.01,THE START OF SECTION IS APPROX. 17 MILES WEST OF THE I-10/I-8 INTERCHANGE
4,Arizona,0504,21,PINAL,1,Rural Principal Arterial - Interstate,8,2,Interstate,,,,2,159.01,THE START OF SECTION IS APPROX. 17 MILES WEST OF THE I-10/I-8 INTERCHANGE
4,Arizona,0505,21,PINAL,1,Rural Principal Arterial - Interstate,8,2,Interstate,,,,2,159.01,THE START OF SECTION IS APPROX. 17 MILES WEST OF THE I-10/I-8 INTERCHANGE
4,Arizona,0506,21,PINAL,1,Rural Principal Arterial - Interstate,8,2,Interstate,,,,2,159.01,THE START OF SECTION IS APPROX. 17 MILES WEST OF THE I-10/I-8 INTERCHANGE
4,Arizona,0507,21,PINAL,1,Rural Principal Arterial - Interstate,8,2,Interstate,,,,2,159.01,THE START OF SECTION IS APPROX. 17 MILES WEST OF THE I-10/I-8 INTERCHANGE
4,Arizona,0508,21,PINAL,1,Rural Principal Arterial - Interstate,8,2,Interstate,,,,2,159.01,THE START OF SECTION IS APPROX. 17 MILES WEST OF THE I-10/I-8 INTERCHANGE
4,Arizona,0509,21,PINAL,1,Rural Principal Arterial - Interstate,8,2,Interstate,,,,2,159.01,THE START OF SECTION IS APPROX. 17 MILES WEST OF THE I-10/I-8 INTERCHANGE
4,Arizona,0559,21,PINAL,1,Rural Principal Arterial - Interstate,8,2,Interstate,,,,2,159.01,THE START OF SECTION IS APPROX. 17 MILES WEST OF THE I-10/I-8 INTERCHANGE
4,Arizona,0560,21,PINAL,1,Rural Principal Arterial - Interstate,8,2,Interstate,,,,2,159.01,THE START OF SECTION IS APPROX. 17 MILES WEST OF THE I-10/I-8 INTERCHANGE
4,Arizona,0601,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0602,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0603,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0604,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0605,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0606,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0607,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0608,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0659,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0660,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0661,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0662,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0663,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0664,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0665,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0666,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0667,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0668,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0669,5,COCONINO,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,202.16,START OF SECTION IS APPROX. 1.3 MILES EAST OF FLAGSTAFF EXIT (EXIT 201).
4,Arizona,0902,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,60.14,Project is spread over several miles on U.S. 93 Northbound. 04A903 is located at MP 62.82.                                                                                                                                                      
4,Arizona,0903,15,MOHAVE,2,Rural Principal Arterial - Other,93   ,3,U.S.,,,,2,60.14,Project is spread over several miles on U.S. 93 Northbound. 04A903 is located at MP 62.82.                                                                                                                                                      
4,Arizona,1003,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,98.53,2.9 MI WEST OF 355TH AVE/2.3 MI EAST OF BELMONT RD.
4,Arizona,1006,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,110.65,START OF SECTION IS  2.3 MILES WEST OF OGLESBY RD. STRUCTURE.  PALO VERDE RD. STRUCTURE IS 1.0 MILES WEST OF BEGINNING OF SECTION. APPROX. 32 MI WEST OF IH-17 INTERSECTION WITH IH-10.
4,Arizona,1007,13,MARICOPA,1,Rural Principal Arterial - Interstate,10,2,Interstate,,,,2,115.43,START OF SECTION IS 1.6 MILES WEST OF WATSON RD. STRUCTURE.  MILLER RD. / BUCKEYE STRUCTURE IS 0.6 MILES WEST OF BEGINNING OF STRUCTURE. APPROX. 27 MI. WEST OF IH-17 INTERSECTION WITH IH-10.
4,Arizona,1015,23,SANTA CRUZ,1,Rural Principal Arterial - Interstate,19,2,Interstate,,,,2,18.33,START OF SECTION IS 0.11 MI. SOUTH OF START OF TAPER FOR TUMACACORI EXIT. TUMACACORI EXIT STRUCTURE IS 0.2 MI. SOUTH OF BEG. OF SECITON. APPROX. 15 MI. NORTH OF ST-82 INTERSECTION WITH IH-19.
4,Arizona,1016,23,SANTA CRUZ,1,Rural Principal Arterial - Interstate,19,2,Interstate,,,,2,24.17,START OF SECTION IS  0.65 MILES SOUTH OF CHAREZ SIDING RD. STRUCTURE (EXIT 40 KM). TUBAC (EXIT 34 KM) STRUCTURE IS 2.55 MILES SOUTH OF BEGINNING OF SECTION.  APROX. 37 MI. NORTH OFf ST-82 INTERSECTION WITH IH-19.
4,Arizona,1017,19,PIMA,1,Rural Principal Arterial - Interstate,19,2,Interstate,,,,2,32.98,START OF SECTION IS  0.24 MILES NORTH OF BEGINNING OF EXIT TAPER FOR CANOA REST AREA ON EAST SIDE OF IH 19 (EXIT @ 53 KM).  CANOA RD. STRUCTURE IS 1.9 MILES NORTH.  APPROX. 54 MI. NORTH OF ST-82 INTERSECTION WITH IH-19.
4,Arizona,1018,19,PIMA,1,Rural Principal Arterial - Interstate,19,2,Interstate,,,,2,36.2,START OF SECTION IS  3.25 MILES SOUTH OF CONTINENTAL RD. STRUCTURE (EXIT KM 63).  CANOA RD. STRUCTURE IS 1.45 MILES SOUTH OF BEGINNING OF SECTION. APPROX. 60 MI. NORTH OF ST-82 INTERSECTION WITH IH-19.
4,Arizona,1021,15,MOHAVE,1,Rural Principal Arterial - Interstate,40,2,Interstate,,,,2,72.87,START OF SECTION IS  2.55 MILES WEST OF BIG SANDY WASH.  US 93 STRUCTURE IS 0.95 MILES WEST OF BEGINNING OF SECTION.
